accounting_account	accounting_account_num_key	{num}
accounting_incomingbalance	accounting_incomingbalance_year_id_account_id_df9034a0_uniq	{year_id,account_id}
accounting_journalentry	accounting_journalentry_year_id_seq_c1e54073_uniq	{year_id,seq}
adyen_notification	adyen_notification_pspReference_eventCode_m_40f16839_uniq	{pspReference,eventCode,merchantAccountCode}
adyen_notification	adyen_notification_receivedat_key	{receivedat}
adyen_rawnotification	adyen_rawnotification_dat_key	{dat}
adyen_transactionstatus	adyen_transactionstatus_pspReference_key	{pspReference}
auth_group	auth_group_name_key	{name}
auth_group_permissions	auth_group_permissions_group_id_permission_id_0cd325b0_uniq	{group_id,permission_id}
auth_permission	auth_permission_content_type_id_codename_01ab375a_uniq	{content_type_id,codename}
auth_user	auth_user_username_key	{username}
auth_user_groups	auth_user_groups_user_id_group_id_94350c0c_uniq	{user_id,group_id}
auth_user_user_permissions	auth_user_user_permissions_user_id_permission_id_14a6b632_uniq	{user_id,permission_id}
braintreepayment_braintreetransaction	braintreepayment_braintreetransaction_transid_key	{transid}
confreg_accesstoken	confreg_accesstoken_conference_id_token_efd937fd_uniq	{conference_id,token}
confreg_aggregateddietary	confreg_aggregateddietary_conference_id_dietary_c0a269fb_uniq	{conference_id,dietary}
confreg_aggregatedtshirtsizes	confreg_aggregatedtshirt_conference_id_size_id_ce2c0713_uniq	{conference_id,size_id}
confreg_attendeemail_addopts	confreg_attendeemail_add_attendeemail_id_conferen_1acadad8_uniq	{attendeemail_id,conferenceadditionaloption_id}
confreg_attendeemail_pending_regs	confreg_attendeemail_pen_attendeemail_id_user_id_1bdef856_uniq	{attendeemail_id,user_id}
confreg_attendeemail_regclasses	confreg_attendeemail_reg_attendeemail_id_registra_38beb7cd_uniq	{attendeemail_id,registrationclass_id}
confreg_attendeemail_registrations	confreg_attendeemail_reg_attendeemail_id_conferen_e62b088a_uniq	{attendeemail_id,conferenceregistration_id}
confreg_conference	confreg_conference_urlname_key	{urlname}
confreg_conference_administrators	confreg_conference_admin_conference_id_user_id_055b1f2c_uniq	{conference_id,user_id}
